0,1,2,3
MD-503,Maryland,annearundel,annearundel
MD-503,Maryland,annapolis,annearundel
MD-504,Maryland,howard,howard
MD-505,Maryland,baltimore,baltimore
MD-506,Maryland,carroll,carroll
MD-509,Maryland,frederick,frederick
MD-513,Maryland,worcester,worcester
MD-513,Maryland,somerset,somerset
MD-513,Maryland,wicomico,wicomico
MD-514,Maryland,marylandbalanceofstate,BAL. OF STATE/STATEWIDE
MD-600,Maryland,princegeorge's,princegeorge's
MD-601,Maryland,montgomery,montgomery
ME-500,Maine,mainestatewide,BAL. OF STATE/STATEWIDE
MI-500,Michigan,michiganbalanceofstate,BAL. OF STATE/STATEWIDE
MI-501,Michigan,detroit,monroe
MI-502,Michigan,wayne,wayne
MI-502,Michigan,land,wayne
MI-502,Michigan,dearbornheights,wayne
MI-502,Michigan,dearborn,wayne
MI-503,Michigan,macomb,macomb
MI-503,Michigan,warren,macomb
MI-503,Michigan,st.clairshores,macomb
MI-504,Michigan,oakland,oakland
MI-504,Michigan,royaloak,oakland
MI-504,Michigan,pontiac,oakland
MI-505,Michigan,genesee,genesee
MI-505,Michigan,flint,genesee
MI-506,Michigan,kent,kent
MI-506,Michigan,wyoming,kent
MI-506,Michigan,grandrapids,kent
MI-507,Michigan,kalamazoo,kalamazoo
MI-507,Michigan,portage,kalamazoo
MI-508,Michigan,ingham,ingham
MI-508,Michigan,lansing,ingham
MI-508,Michigan,lansing,ingham
MI-509,Michigan,washtenaw,washtenaw
MI-510,Michigan,saginaw,saginaw
MI-511,Michigan,lenawee,lenawee
MI-512,Michigan,leelanau,leelanau
MI-512,Michigan,antrim,antrim
MI-512,Michigan,grandtraverse,grandtraverse
MI-514,Michigan,calhoun,calhoun
MI-514,Michigan,battlecreek,calhoun
MI-515,Michigan,monroe,monroe
MI-516,Michigan,muskegon,muskegon
MI-516,Michigan,nortonshores,muskegon
MI-517,Michigan,jackson,jackson
MI-518,Michigan,livingston,livingston
MI-519,Michigan,ottawa,ottawa
MI-519,Michigan,holland,ottawa
MI-523,Michigan,eaton,eaton
MN-500,Minnesota,hennepin,hennepin
MN-500,Minnesota,minneapolis,hennepin
MN-501,Minnesota,ramsey,ramsey
MN-501,Minnesota,st.paul,ramsey
MN-502,Minnesota,rochester,olmsted
MN-503,Minnesota,carver,carver
MN-503,Minnesota,scott,scott
MN-503,Minnesota,washington,washington
MN-503,Minnesota,anoka,anoka
MN-503,Minnesota,dakota,dakota
MN-505,Minnesota,st.cloud,stearns
MN-508,Minnesota,moorhead,clay
MN-509,Minnesota,st.louis,st.louis
MN-509,Minnesota,duluth,st.louis
MO-500,Missouri,st.louis,st.louis
MO-501,Missouri,st.louis,st.louis
MO-503,Missouri,warren,warren
MO-503,Missouri,lincoln,lincoln
MO-503,Missouri,st.charles,st.charles
MO-600,Missouri,webster,webster
MO-600,Missouri,christian,christian
MO-600,Missouri,greene,greene
