,0,1,2,3,4
139,AR-503,Arkansas,arkansasbalanceofstate,littleriver,814
140,AR-503,Arkansas,arkansasbalanceofstate,logan,814
141,AR-503,Arkansas,arkansasbalanceofstate,lonoke,814
142,AR-503,Arkansas,arkansasbalanceofstate,madison,814
143,AR-503,Arkansas,arkansasbalanceofstate,marion,814
144,AR-503,Arkansas,arkansasbalanceofstate,miller,814
145,AR-503,Arkansas,arkansasbalanceofstate,mississippi,814
146,AR-503,Arkansas,arkansasbalanceofstate,monroe,814
147,AR-503,Arkansas,arkansasbalanceofstate,montgomery,814
148,AR-503,Arkansas,arkansasbalanceofstate,nevada,814
149,AR-503,Arkansas,arkansasbalanceofstate,newton,814
150,AR-503,Arkansas,arkansasbalanceofstate,ouachita,814
151,AR-503,Arkansas,arkansasbalanceofstate,perry,814
152,AR-503,Arkansas,arkansasbalanceofstate,phillips,814
153,AR-503,Arkansas,arkansasbalanceofstate,pike,814
154,AR-503,Arkansas,arkansasbalanceofstate,poinsett,814
155,AR-503,Arkansas,arkansasbalanceofstate,polk,814
156,AR-503,Arkansas,arkansasbalanceofstate,pope,814
157,AR-503,Arkansas,arkansasbalanceofstate,prairie,814
158,AR-503,Arkansas,arkansasbalanceofstate,randolph,814
159,AR-503,Arkansas,arkansasbalanceofstate,st.francis,814
160,AR-503,Arkansas,arkansasbalanceofstate,saline,814
161,AR-503,Arkansas,arkansasbalanceofstate,scott,814
162,AR-503,Arkansas,arkansasbalanceofstate,searcy,814
163,AR-503,Arkansas,arkansasbalanceofstate,sevier,814
164,AR-503,Arkansas,arkansasbalanceofstate,sharp,814
165,AR-503,Arkansas,arkansasbalanceofstate,stone,814
166,AR-503,Arkansas,arkansasbalanceofstate,union,814
167,AR-503,Arkansas,arkansasbalanceofstate,vanburen,814
168,AR-503,Arkansas,arkansasbalanceofstate,white,814
169,AR-503,Arkansas,arkansasbalanceofstate,woodruff,814
170,AR-503,Arkansas,arkansasbalanceofstate,yell,814
171,AR-508,Arkansas,fortsmith,sebastian,374
172,AZ-500,Arizona,arizonabalanceofstate,apache,2300
173,AZ-500,Arizona,arizonabalanceofstate,cochise,2300
174,AZ-500,Arizona,arizonabalanceofstate,coconino,2300
175,AZ-500,Arizona,arizonabalanceofstate,gila,2300
176,AZ-500,Arizona,arizonabalanceofstate,graham,2300
177,AZ-500,Arizona,arizonabalanceofstate,greenlee,2300
178,AZ-500,Arizona,arizonabalanceofstate,lapaz,2300
179,AZ-500,Arizona,arizonabalanceofstate,mohave,2300
180,AZ-500,Arizona,arizonabalanceofstate,navajo,2300
