MS-500,Mississippi,Jackson,Rankin,Madison Counties CoC,,,,,
MS-501,Mississippi,Mississippi Balance of State CoC,,,,,,,
MS-503,Mississippi,Gulf Port,Gulf Coast Regional CoC,,,,,,
MT-500,Montana,Montana Statewide CoC,,,,,,,
NC-500,North Carolina,Winston-Salem,Forsyth County CoC,,,,,,
NC-501,North Carolina,Asheville,Buncombe County CoC,,,,,,
NC-502,North Carolina,Durham City & County CoC,,,,,,,
NC-503,North Carolina,North Carolina Balance of State CoC,,,,,,,
NC-504,North Carolina,Greensboro,High Point CoC,,,,,,
NC-505,North Carolina,Charlotte,Mecklenburg County CoC,,,,,,
NC-506,North Carolina,Wilmington,Brunswick,New Hanover,Pender Counties CoC,,,,
NC-507,North Carolina,Raleigh,Wake County CoC,,,,,,
NC-509,North Carolina,Gastonia,Cleveland,Gaston,Lincoln Counties CoC,,,,
NC-511,North Carolina,Fayetteville,Cumberland County CoC,,,,,,
NC-513,North Carolina,Chapel Hill,Orange County CoC,,,,,,
NC-516,North Carolina,Northwest North Carolina CoC,,,,,,,
ND-500,North Dakota,North Dakota Statewide CoC,,,,,,,
NE-500,Nebraska,Nebraska Balance of State CoC,,,,,,,
NE-501,Nebraska,Omaha,Council Bluffs CoC,,,,,,
NE-502,Nebraska,Lincoln CoC,,,,,,,
NH-500,New Hampshire,New Hampshire Balance of State CoC,,,,,,,
NH-501,New Hampshire,Manchester CoC,,,,,,,
NH-502,New Hampshire,Nashua,Hillsborough County CoC,,,,,,
NJ-500,New Jersey,Atlantic City & County CoC,,,,,,,
NJ-501,New Jersey,Bergen County CoC,,,,,,,
NJ-502,New Jersey,Burlington County CoC,,,,,,,
NJ-503,New Jersey,Camden City & County,Gloucester,Cape May,Cumberland Counties CoC,,,,
NJ-504,New Jersey,Newark,Essex County CoC,,,,,,
NJ-506,New Jersey,Jersey City,Bayonne,Hudson County CoC,,,,,
NJ-507,New Jersey,New Brunswick,Middlesex County CoC,,,,,,
NJ-508,New Jersey,Monmouth County CoC,,,,,,,
NJ-509,New Jersey,Morris County CoC,,,,,,,
NJ-510,New Jersey,Lakewood Township,Ocean County CoC,,,,,,
NJ-511,New Jersey,Paterson,Passaic County CoC,,,,,,
NJ-512,New Jersey,Salem County CoC,,,,,,,
NJ-513,New Jersey,Somerset County CoC,,,,,,,
NJ-514,New Jersey,Trenton,Mercer County CoC,,,,,,
