CoC Code,State,Section of CoC
MI-512,Michigan,GrandTraverse
MI-512,Michigan,Antrim
MI-512,Michigan,Leelanau
MI-514,Michigan,BattleCreek
MI-514,Michigan,Calhoun
MI-515,Michigan,Monroe
MI-516,Michigan,NortonShores
MI-516,Michigan,Muskegon
MI-517,Michigan,Jackson
MI-518,Michigan,Livingston
MI-519,Michigan,Holland
MI-519,Michigan,Ottawa
MI-523,Michigan,Eaton
MN-500,Minnesota,Minneapolis
MN-500,Minnesota,Hennepin
MN-501,Minnesota,St.Paul
MN-501,Minnesota,Ramsey
MN-502,Minnesota,Rochester
MN-503,Minnesota,Dakota
MN-503,Minnesota,Anoka
MN-503,Minnesota,Washington
MN-503,Minnesota,Scott
MN-503,Minnesota,Carver
MN-505,Minnesota,St.Cloud
MN-508,Minnesota,Moorhead
MN-509,Minnesota,Duluth
MN-509,Minnesota,St.Louis
MO-500,MIssouri,St.Louis
MO-501,MIssouri,St.Louis
MO-503,MIssouri,St.Charles
MO-503,MIssouri,Lincoln
MO-503,MIssouri,Warren
MO-600,MIssouri,Springfield
MO-600,MIssouri,Greene
MO-600,MIssouri,Christian
MO-600,MIssouri,Webster
MO-602,MIssouri,Joplin
MO-602,MIssouri,Jasper
MO-602,MIssouri,Newton
MO-603,MIssouri,St.Joseph
MO-603,MIssouri,Andrew
MO-603,MIssouri,Buchanan
MO-603,MIssouri,DeKalb
MO-604,MIssouri,KansasCity(MO&KS)
MO-604,MIssouri,Independence
MO-604,MIssouri,Lee’sSummit
MO-604,MIssouri,Jackson
MO-604,MIssouri,Wyandotte
MO-606,MIssouri,MissouriBalanceofState
MS-500,Mississippi,Jackson
MS-500,Mississippi,Rankin
MS-500,Mississippi,Madison
MS-501,Mississippi,MississippiBalanceofState
MS-503,Mississippi,GulfPort
MS-503,Mississippi,GulfCoastRegional
MT-500,Montana,MontanaStatewide
NC-500,North Carolina,Winston-Salem
NC-500,North Carolina,Forsyth
NC-501,North Carolina,Asheville
NC-501,North Carolina,Buncombe
NC-502,North Carolina,Durham
NC-503,North Carolina,NorthCarolinaBalanceofState
NC-504,North Carolina,Greensboro
NC-504,North Carolina,HighPoint
NC-505,North Carolina,Charlotte
NC-505,North Carolina,Mecklenburg
NC-506,North Carolina,Wilmington
NC-506,North Carolina,Brunswick
NC-506,North Carolina,NewHanover
NC-506,North Carolina,Pender
NC-507,North Carolina,Raleigh
NC-507,North Carolina,Wake
NC-509,North Carolina,Gastonia
NC-509,North Carolina,Cleveland
NC-509,North Carolina,Gaston
NC-509,North Carolina,Lincoln
NC-511,North Carolina,Fayetteville
NC-511,North Carolina,Cumberland
NC-513,North Carolina,ChapelHill
NC-513,North Carolina,Orange
NC-516,North Carolina,NorthwestNorthCarolina
ND-500,North Dakota,NorthDakotaStatewide
NE-500,Nebraska,NebraskaBalanceofState
NE-501,Nebraska,Omaha
NE-501,Nebraska,CouncilBluffs
NE-502,Nebraska,Lincoln
NH-500,New Hampshire,NewHampshireBalanceofState
NH-501,New Hampshire,Manchester
NH-502,New Hampshire,Nashua
NH-502,New Hampshire,Hillsborough
NJ-500,New Jersey,Atlantic
NJ-501,New Jersey,Bergen
NJ-502,New Jersey,Burlington
NJ-503,New Jersey,Camden
NJ-503,New Jersey,Gloucester
NJ-503,New Jersey,CapeMay
NJ-503,New Jersey,Cumberland
