CoC Code,State Name,CoC Name,County Name,Homeless Count,Avg. Rent Price,Poverty Count,Poverty Pct.,Unemployed Count,Unemployed Pct.,Education Count No HS Diploma,Education Count No College
IN-502,Indiana,indianabalanceofstate,allen,3688,976.6527075,50086,13,7468,4,24735,70255
IN-502,Indiana,indianabalanceofstate,bartholomew,3688,1129.204257,6624,8,1352,3,4682,16918
IN-502,Indiana,indianabalanceofstate,benton,3688,none,901,10,126,3,678,2356
IN-502,Indiana,indianabalanceofstate,blackford,3688,none,1526,12,190,4,781,4235
IN-502,Indiana,indianabalanceofstate,boone,3688,1543.161669,3980,5,860,2,2591,8792
IN-502,Indiana,indianabalanceofstate,brown,3688,none,1670,10,274,3,822,4054
IN-502,Indiana,indianabalanceofstate,carroll,3688,none,1730,8,319,3,1549,6022
IN-502,Indiana,indianabalanceofstate,cass,3688,none,4459,12,693,4,3998,10791
IN-502,Indiana,indianabalanceofstate,clark,3688,none,12668,10,2178,3,7621,29348
IN-502,Indiana,indianabalanceofstate,clay,3688,none,2894,11,450,3,1614,7618
IN-502,Indiana,indianabalanceofstate,clinton,3688,none,3352,10,509,3,2840,9771
IN-502,Indiana,indianabalanceofstate,crawford,3688,none,1605,15,194,4,1274,3487
IN-502,Indiana,indianabalanceofstate,daviess,3688,none,4151,12,423,2,4785,6965
IN-502,Indiana,indianabalanceofstate,dearborn,3688,none,3819,7,832,3,3254,13463
IN-502,Indiana,indianabalanceofstate,decatur,3688,none,2576,9,467,3,1461,7909
IN-502,Indiana,indianabalanceofstate,dekalb,3688,none,3411,8,662,3,2637,12667
IN-502,Indiana,indianabalanceofstate,delaware,3688,728.0128319,19056,18,2251,4,6654,23450
IN-502,Indiana,indianabalanceofstate,dubois,3688,none,3187,7,582,2,2949,11153
IN-502,Indiana,indianabalanceofstate,elkhart,3688,none,22950,11,3234,2,23619,45191
IN-502,Indiana,indianabalanceofstate,fayette,3688,none,3116,13,410,4,2472,7284
IN-502,Indiana,indianabalanceofstate,floyd,3688,none,7237,9,1273,3,4801,16949
IN-502,Indiana,indianabalanceofstate,fountain,3688,none,1726,10,242,3,1398,5045
IN-502,Indiana,indianabalanceofstate,franklin,3688,none,1950,8,337,3,1838,6327
IN-502,Indiana,indianabalanceofstate,fulton,3688,none,2224,11,346,3,1745,5566
IN-502,Indiana,indianabalanceofstate,gibson,3688,none,3675,11,529,2,1921,9399
IN-502,Indiana,indianabalanceofstate,grant,3688,none,11528,18,1290,4,5183,16692
IN-502,Indiana,indianabalanceofstate,greene,3688,none,4349,14,513,3,2547,8608
IN-502,Indiana,indianabalanceofstate,hamilton,3688,1524.469452,13447,3,4589,2,6183,32280
IN-502,Indiana,indianabalanceofstate,hancock,3688,1500.803676,4459,5,1173,2,3626,16350
IN-502,Indiana,indianabalanceofstate,harrison,3688,none,3320,8,591,2,2724,11739
IN-502,Indiana,indianabalanceofstate,hendricks,3688,1555.872395,9294,5,2555,2,5625,30616
IN-502,Indiana,indianabalanceofstate,henry,3688,none,6831,15,787,3,3200,14851
IN-502,Indiana,indianabalanceofstate,howard,3688,731.3525514,9771,11,2380,6,5225,21571
IN-502,Indiana,indianabalanceofstate,huntington,3688,none,3758,10,594,3,1800,10588
IN-502,Indiana,indianabalanceofstate,jackson,3688,none,6443,14,772,3,3381,12941
IN-502,Indiana,indianabalanceofstate,jasper,3688,none,2807,8,598,3,1917,10057
IN-502,Indiana,indianabalanceofstate,jay,3688,none,2723,13,261,3,1647,6485
IN-502,Indiana,indianabalanceofstate,jefferson,3688,none,3593,11,519,3,2412,9402
IN-502,Indiana,indianabalanceofstate,jennings,3688,none,3421,12,541,4,2102,8061
IN-502,Indiana,indianabalanceofstate,johnson,3688,1437.96997,12092,7,2412,2,7709,33039
IN-502,Indiana,indianabalanceofstate,knox,3688,none,5092,15,568,3,2738,8575
IN-502,Indiana,indianabalanceofstate,kosciusko,3688,none,7328,9,1236,3,6577,18695
IN-502,Indiana,indianabalanceofstate,lagrange,3688,none,2998,7,447,2,9436,6691
IN-502,Indiana,indianabalanceofstate,lake,3688,1104.896802,68461,13,14683,6,34286,119068
IN-502,Indiana,indianabalanceofstate,laporte,3688,none,12934,12,2529,5,8368,31353
IN-502,Indiana,indianabalanceofstate,lawrence,3688,none,5608,12,796,3,3573,12115
IN-502,Indiana,indianabalanceofstate,madison,3688,856.9979612,19464,15,2664,4,9283,36143
IN-502,Indiana,indianabalanceofstate,marshall,3688,none,3916,8,661,2,4446,11411
IN-502,Indiana,indianabalanceofstate,martin,3688,none,1119,11,153,2,870,2962
IN-502,Indiana,indianabalanceofstate,miami,3688,none,4841,14,720,4,3431,10701
IN-502,Indiana,indianabalanceofstate,monroe,3688,1350.052248,26549,21,2232,3,5001,17048
